Epoch,Validation_MSE,Validation_PSNR,Validation_SSIM
1.0000,61.3153,30.5397,0.8461
2.0000,57.7875,30.8335,0.8735
3.0000,60.1130,30.6689,0.8707
4.0000,61.0648,30.6417,0.8879
5.0000,56.6449,30.9214,0.8837
6.0000,56.3243,31.0562,0.8938
7.0000,54.6706,31.1870,0.8968
8.0000,54.7542,31.1637,0.8999
9.0000,56.1338,31.0460,0.9005
10.0000,60.6479,30.6185,0.9011
11.0000,54.1536,31.2312,0.9032
12.0000,54.6687,31.2081,0.9039
13.0000,55.1445,31.1169,0.9013
14.0000,53.3960,31.2585,0.9064
15.0000,54.7653,31.2971,0.9075
16.0000,52.1312,31.4683,0.9085
17.0000,54.9690,31.1739,0.9048
18.0000,62.9767,30.7018,0.9026
19.0000,54.8477,31.3229,0.9091
20.0000,51.6096,31.5235,0.9105
21.0000,52.8835,31.3758,0.9096
22.0000,52.5270,31.3921,0.9084
23.0000,52.7148,31.4448,0.9076
24.0000,52.3604,31.4433,0.9089
25.0000,56.6618,31.0803,0.9131
26.0000,52.7014,31.4313,0.9148
27.0000,52.3332,31.4783,0.9129
28.0000,53.5629,31.3011,0.9141
29.0000,50.8654,31.5627,0.9108
30.0000,53.0297,31.3680,0.9127
31.0000,52.0269,31.6331,0.9129
32.0000,52.3922,31.4173,0.9135
33.0000,54.6980,31.3103,0.9091
34.0000,50.7293,31.6473,0.9151
35.0000,50.1710,31.6778,0.9153
36.0000,50.2354,31.6685,0.9136
37.0000,51.9336,31.5491,0.9126
38.0000,52.8118,31.3947,0.9131
39.0000,59.5436,30.7997,0.9111
40.0000,52.7026,31.3758,0.9123
41.0000,51.4545,31.5359,0.9104
42.0000,52.2921,31.3987,0.9124
43.0000,51.5744,31.5072,0.9145
44.0000,51.8544,31.5606,0.9170
45.0000,51.9435,31.5317,0.9131
46.0000,51.7896,31.5547,0.9147
47.0000,51.3102,31.5480,0.9137
48.0000,56.7144,31.0153,0.9064
49.0000,50.5863,31.6333,0.9119
50.0000,50.4334,31.6586,0.9085
51.0000,49.8384,31.7294,0.9144
52.0000,51.0885,31.5444,0.9134
53.0000,51.6516,31.5145,0.9121
54.0000,50.4231,31.6613,0.9149
55.0000,56.0025,31.0998,0.9052
56.0000,51.2084,31.5272,0.9119
57.0000,50.8141,31.5981,0.9113
58.0000,52.2203,31.4495,0.9111
59.0000,55.8503,31.1284,0.9082
60.0000,50.5327,31.6053,0.9141
61.0000,49.7400,31.7161,0.9126
62.0000,48.5912,31.7741,0.9152
63.0000,53.8673,31.2511,0.9118
64.0000,51.2481,31.5109,0.9096
65.0000,50.7242,31.5874,0.9130
66.0000,51.0308,31.5626,0.9128
67.0000,55.0216,31.2783,0.9110
68.0000,52.3267,31.3684,0.9124
69.0000,49.5500,31.7610,0.9127
70.0000,49.3738,31.7886,0.9151
71.0000,51.2849,31.5531,0.9106
72.0000,48.9705,31.7508,0.9156
73.0000,49.8190,31.6515,0.9128
74.0000,50.1891,31.7603,0.9149
75.0000,51.4568,31.6346,0.9099
76.0000,53.5249,31.2926,0.9119
77.0000,51.4554,31.6706,0.9128
78.0000,51.4768,31.4747,0.9104
79.0000,49.1750,31.8044,0.9156
80.0000,50.9425,31.5585,0.9103
81.0000,47.9113,31.8688,0.9147
82.0000,47.9088,31.9201,0.9106
83.0000,51.2967,31.5562,0.9120
84.0000,49.9463,31.7158,0.9143
85.0000,48.0356,31.8923,0.9134
86.0000,47.8731,31.8664,0.9132
87.0000,48.0234,31.8864,0.9121
88.0000,48.8132,31.9027,0.9152
89.0000,51.8931,31.4164,0.9065
90.0000,49.8364,31.7305,0.9128
91.0000,47.8838,31.8998,0.9143
92.0000,51.0953,31.6205,0.9131
93.0000,49.2272,31.9573,0.9160
94.0000,49.4739,31.7561,0.9134
95.0000,48.5633,31.8181,0.9130
96.0000,49.3635,31.7715,0.9141
97.0000,52.8319,31.4689,0.9139
98.0000,48.8195,31.8501,0.9156
99.0000,47.1699,31.9980,0.9126
100.0000,47.6372,31.9997,0.9161
